timestamp,status,status_code,response_time_ms,error
2026-07-27T10:17:38.379006+00:00,UP,200,14.79,
2026-07-27T10:18:08.381609+00:00,UP,200,2.08,
2026-07-27T10:18:38.383866+00:00,UP,200,1.82,
2026-07-27T10:19:08.386140+00:00,UP,200,1.77,
2026-07-27T10:19:38.388582+00:00,UP,200,2.01,
2026-07-27T10:20:08.390836+00:00,UP,200,1.85,
2026-07-27T10:20:38.394181+00:00,UP,200,2.97,
2026-07-27T10:21:08.396674+00:00,UP,200,1.98,
2026-07-27T10:21:38.398784+00:00,UP,200,1.7,
2026-07-27T10:22:08.401664+00:00,UP,200,1.84,
2026-07-27T10:22:38.403790+00:00,UP,200,1.71,
2026-07-27T10:23:08.406096+00:00,UP,200,1.78,
2026-07-27T10:23:38.407503+00:00,DOWN,,0.43,<urlopen error [Errno 111] Connection refused>
2026-07-27T10:24:08.408384+00:00,DOWN,,0.54,<urlopen error [Errno 111] Connection refused>
2026-07-27T10:24:38.409097+00:00,DOWN,,0.38,<urlopen error [Errno 111] Connection refused>
2026-07-27T10:25:08.409873+00:00,DOWN,,0.4,<urlopen error [Errno 111] Connection refused>
2026-07-27T10:25:38.412335+00:00,UP,200,2.12,
2026-07-27T10:26:08.414479+00:00,UP,200,1.78,
2026-07-27T10:26:38.416810+00:00,UP,200,1.92,
2026-07-27T10:27:08.418967+00:00,UP,200,1.74,
2026-07-27T10:27:38.421130+00:00,UP,200,1.68,
2026-07-27T10:28:08.423401+00:00,UP,200,1.76,
2026-07-27T10:28:38.425814+00:00,UP,200,1.99,
2026-07-27T10:29:08.428129+00:00,UP,200,1.76,
2026-07-27T10:29:38.430424+00:00,UP,200,1.85,
2026-07-27T10:30:08.432756+00:00,UP,200,1.87,
2026-07-27T10:30:38.435351+00:00,UP,200,1.77,
2026-07-27T10:31:08.437531+00:00,UP,200,1.78,
2026-07-27T10:31:38.439587+00:00,UP,200,1.69,
2026-07-27T10:32:08.441908+00:00,UP,200,1.94,
2026-07-27T10:32:38.443987+00:00,UP,200,1.68,
2026-07-27T10:33:08.446193+00:00,UP,200,1.75,
2026-07-27T10:33:38.448817+00:00,UP,200,1.85,
2026-07-27T10:34:08.451690+00:00,UP,200,1.73,
